word,part_of_speech,meaning,example,example_meaning,definition,ID
decimal,adjective,thập phân,Some people just have no respect for decimal points.,Một số người không tôn trọng các số thập phân .,"(arithmetic, computing, uncountable) The number system that uses the digits 0, 1, 2, 3, 4, 5, 6, 7, 8 and 9.",10319
denominator,noun,mẫu số,You can't run a society by the lowest common denominator .,Bạn không thể điều hành 1 xã hội với mẫu số chung nhỏ nhất.,(arithmetic) The number or expression written below the line in a fraction (thus 2 in 1⁄2).,10320
digit,noun,ngón tay,The thumb is the first digit of the hand.,Ngón cái là ngón tay thứ nhất của bàn tay.,A finger or toe.,10321
fraction,noun,phân số,Lambert's proof exploited a continued- fraction representation of the tangent function.,Phép chứng minh của Lambert khai thác một biểu diễn phân số liên tục của hàm tang.,To divide or break into fractions.,10322
integer,noun,số nguyên,"I have come to believe that for Ramanujan, every single positive integer is one of his personal friends.","Tôi buộc phải tin rằng đối với Ramanujan, mỗi một số nguyên dương đều là bạn của cậu ta.","(arithmetic) An element of the infinite and numerable set {...,-3,-2,-1,0,1,2,3,...}.",10323
numeral,noun,chữ số,And we only have this card with three numerals .,"Còn chúng tôi chỉ có cái thẻ này, với 3 chữ số .","A symbol that is not a word and represents a number, such as the Arabic numerals 1, 2, 3 and the Roman numerals I, V, X, L.",10324
numerator,noun,tử số,that T in the numerator increases impact — a bad thing —,rằng T trên tử số tăng — tình hình sẽ xấu đi —,(arithmetic) The number or expression written above the line in a fraction (thus 1 in 1⁄2).,10325
percent,noun,phần trăm,Small wonder that the recovery rate is a paltry 15 percent .,"Chẳng lấy làm lạ khi tỷ lệ tìm lại được không đáng kể, chỉ 15 phần trăm mà thôi.",percentage.,10326
product,noun,sản phẩm,Tom demonstrated the company's newest product to the crowd.,Tom giới thiệu sản phẩm mới nhất của công ty trước công chúng.,A commodity offered for sale.,10327
property,noun,tài sản,My office is going to be processing any and all reasonable claims of property loss.,Bên tôi sẽ giải quyết tất cả mọi khiếu nại về tổn thất tài sản hợp lý.,Something that is owned.,10328
quart,noun,bình một lít Anh,The human body Holds 5 quarts of blood.,Cơ thể con người chứa 5 lít máu.,A unit of liquid capacity equal to two pints; one-fourth (quarter) of a gallon. Equivalent to 1.136 liters in the UK and 0.946 liter (liquid quart) or 1.101 liters (dry quart) in the U.S.,10329
quarter,verb,phanh thây,"If I cut your throat today, I will be drawn and quartered tomorrow.","Nếu ta cắt cổ họng của ngài hôm nay, ta sẽ bị ngũ mã phanh thây vào hôm sau.",Pertaining to an aspect of a quarter.,10330
remainder,noun,số dư,"In computing, the modulo operation finds the remainder after division of one number by another (sometimes called modulus).","Trong điện toán, phép toán modulo là phép toán tìm số dư của phép chia 2 số (đôi khi được gọi là modulus).",A part or parts remaining after some has/have been removed.,10331
simplify,verb,đơn giản hoá,KDE file type editor- simplified version for editing a single file type,Trình sửa dạng tập tin KDE-phiên bản đơn giản hoá để sửa một kiểu tập tin,"(transitive) To make simpler, either by reducing in complexity, reducing to component parts, or making easier to understand.",10332
solution,noun,dung dịch,Calcium bisulfite is an acid salt and behaves like an acid in aqueous solution .,Canxi bisunfit là muối axit và hoạt động như một axit trong dung dịch nước.,"A homogeneous mixture, which may be liquid, gas or solid, formed by dissolving one or more substances.",10333
surface,verb,bề ngoài,"Moreover, he looks beyond the surface and peers right into the heart.","Hơn nữa, Ngài không nhìn bề ngoài nhưng nhìn sâu vào trong lòng người.",The up-side of a flat object such as a table.,10334
value,verb,đánh giá,I value your opinion as a scientist and a friend.,Tôi đánh giá quan điểm của anh như một nhà khoa học và người bạn.,The quality (positive or negative) that renders something desirable or valuable,10335
dividend,noun,cổ tức,What if the company does n't pay a dividend or its dividend pattern is irregular ?,Nếu công ty không trả cổ tức hoặc cổ tức trả không đều đặn thì sao ?,(arithmetic) A number or expression that is to be divided by another.,10336
metric,noun,mét,It's small even in metric .,Tính trong thang mét cũng là hơi bị nhỏ đấy.,"(mathematics) A measurement of the ""distance"" between two points in some metric space: it is a real-valued functiond(x,y) between pointsxandysatisfying the following properties: (1) ""positive definiteness"": d(x,y) \ge 0 and d(x,y) = 0 \mbox{ iff } x=y , (2) ""symmetry"": d(x,y) = d(y,x) , and (3) ""triangle inequality"": d(x,y) \le d(x,z) + d(z,y) .",10337
multiple,adjective,nhiều,"Of course, a multiplicity of names is confusing.","Dĩ nhiên, quá nhiều tên sẽ gây ra xáo trộn.","(mathematics) A number that may be divided by another number with no remainder; thus 14, 21 and 70 aremultiplesof 7",10338
reciprocal,adjective,qua lại,states committed to reciprocally admit people onto their territory,đã nêu rõ cam kết tiếp nhận người dân qua lại trong lãnh thổ của họ,"Of a feeling, action or such: mutual, uniformly felt or done by each party towards the other or others; two-way.",10339
sequential,adjective,liên tiếp,"produced by the sequential projection of still frames,",được tạo ra bởi sự chiếu ra liên tiếp những khung hình cố định,Succeeding or following in order.,10340
tangent,adjective,đường tiếp tuyến,"It's like talking about the tangent of the visual angle, all right?","Nó giống như đang nói chuyện về đường tiếp tuyến của góc nhìn, phải không?",(geometry) A straight line touching a curve at a single point without crossing it there.,10341
axis,noun,trục,"And on that axis I have life expectancy, the health of people.","Và trên trục kia tôi có tuổi thọ trung bình, sức khỏe của người dân.","Axis axis, a deer native to Asia.",10342
coordinate,adjective,phối hợp,"Both his memory and his muscle coordination may be impaired, too.",Ngoài ra trí nhớ và sự phối hợp cơ bắp của người ấy cũng bị suy yếu đi.,Alternative spelling of coordinate.,10343
exponent,noun,số mũ,"that not only will this make the student learn their exponents better,","rằng điều này không chỉ khiến học sinh học số mũ tốt hơn,","(mathematics) The power to which a number, symbol or expression is to be raised. As in the 3\, in x^3\,.",10344
binomial,noun,Nhị thức,"Well, Newton discovered binomial theorem aged 22.",Newton khám phá ra định lý nhị thức vào năm 22 tuổi.,"Consisting of two terms, or parts.",10345
coefficient,noun,hệ số,You might consider using a round with a superior ballistic coefficient .,Mày nên cân nhắc khi sử dụng băng đạn với hệ số đạn đạo cao cấp đi.,(mathematics) A constant by which an algebraic term is multiplied.,10346
factorization,noun,[phép,And we think there are two factors that enable us to communicate.,Tôi nghĩ có 2 yếu tố cho phép ta giao tiếp.,(mathematics): The process of creating a list of factors.,10347
identical,adjective,đúng,Forging meaning and building identity does not make what was wrong right.,Tôi luyện ý nghĩa và xây dựng danh tính không khiến cái sai lạc trở nên đúng đắn.,(not comparable) Bearing full likeness by having precisely the same set of characteristics; indistinguishable.,10348
intersection,noun,ngã tư,"But if we took you to the intersection , you'd get your bearings, right?","Nhưng nếu chúng ta đi đến ngã tư đó, Cậu có thể định hướng ko?","The junction of two (or more) paths, streets, highways, or other thoroughfares.",10349
parabola,noun,parabôn,"we announced our intent to do one zero-g parabola ,",tuyên bố ý định thực hiện 1 chuyến bay parabôn không trọng lực —,(geometry) The conic section formed by the intersection of a cone with a plane parallel to a tangent plane to the cone; the locus of points equidistant from a fixed point (the focus) and line (the directrix).,10350
polynomial,adjective,Đa thức,Generates a polynomial interpolation for a set of data,Tạo ra sự nội suy đa thức cho một tập dữ liệu. Name,(algebra) Able to be described or limited by a polynomial.,10351
absolute value,noun,trị số tuyệt đối,Absolute Value,giá trị tuyệt đối,"(mathematics) For a real number, its numerical value without regard to its sign; formally, -1 times the number if the number is negative, and the number unmodified if it is zero or positive.",10352
inverse,adjective,ngược,So the horizontal images were all in inversion .,Vậy nên những hình ảnh cắt ngang là một sự đảo ngược .,Opposite in effect or nature or order,10353
